id,country,Region,continent,,1990,1995,2000,2005,2010,2015,2020,2024
216,New,Caledonia,Melanesia,OCEANIA,37673,43662,49651,55405,61158,68881,73141,76738
217,Papua,New,Guinea,Melanesia,OCEANIA,33710,33526,26304,29971,30425,30940,31068
218,Solomon,Islands,Melanesia,OCEANIA,4226,4178,3981,3271,2760,2585,2520,2469
219,Vanuatu,Melanesia,OCEANIA,2308,2461,2626,2800,2991,3186,3257,3315,
220,Guam,Micronesia,OCEANIA,69755,71912,74070,74743,75416,76089,80472,84159,
221,Kiribati,Micronesia,OCEANIA,2162,2223,2283,2487,2868,2919,3126,3302,
222,Marshall,Islands,Micronesia,OCEANIA,1158,1480,1891,2417,3089,3284,3298,3309
223,Micronesia,(Fed.,States,of),Micronesia,OCEANIA,3685,3342,3116,2905,2806,2756
224,Nauru,Micronesia,OCEANIA,2815,2605,2394,2253,906,1833,2201,2548,
225,Northern,Mariana,Islands,Micronesia,OCEANIA,26593,32376,40122,37542,24168,21648,21843
226,Palau,Micronesia,OCEANIA,2801,4749,6310,6043,5490,4937,5088,5212,
227,American,Samoa,Polynesia,OCEANIA,21283,23098,24912,24233,23555,23513,23608,23684
228,Cook,Islands,Polynesia,OCEANIA,2587,2686,2785,3277,3769,4168,4579,4937
229,French,Polynesia,Polynesia,OCEANIA,25830,28360,30329,32286,31640,30058,30081,30099
230,Niue,Polynesia,OCEANIA,461,480,498,522,589,588,588,588,
231,Samoa,Polynesia,OCEANIA,3357,4694,5998,5746,5122,4255,4021,3843,
232,Tokelau,Polynesia,OCEANIA,360,506,712,1003,1128,1185,1238,1282,
233,Tonga,Polynesia,OCEANIA,2911,3274,3684,4301,4607,3954,3742,3581,
234,Tuvalu,Polynesia,OCEANIA,318,263,218,209,220,230,239,246,
235,Wallis,and,Futuna,Islands,Polynesia,OCEANIA,1402,1704,2015,2191,2111,2050
